,1,3,5,2,4
10,2.6226043701171875e-06,2.1457672119140625e-06,4.0531158447265625e-06,5.0067901611328125e-06,1.9073486328125e-06
20,1.9073486328125e-06,9.5367431640625e-07,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07
30,2.86102294921875e-06,9.5367431640625e-07,9.5367431640625e-07,1.1920928955078125e-06,7.152557373046875e-07
40,5.0067901611328125e-06,9.5367431640625e-07,9.5367431640625e-07,2.6226043701171875e-06,1.1920928955078125e-06
50,1.9073486328125e-06,9.5367431640625e-07,1.1920928955078125e-06,4.0531158447265625e-06,9.5367431640625e-07
60,3.0994415283203125e-06,1.1920928955078125e-06,1.1920928955078125e-06,2.1457672119140625e-06,9.5367431640625e-07
70,7.152557373046875e-06,9.5367431640625e-07,0.0,1.9073486328125e-06,3.814697265625e-06
80,4.291534423828125e-06,1.9073486328125e-06,1.1920928955078125e-06,2.86102294921875e-06,9.5367431640625e-07
90,6.9141387939453125e-06,2.1457672119140625e-06,9.5367431640625e-07,2.1457672119140625e-06,9.5367431640625e-07
100,4.291534423828125e-06,9.5367431640625e-07,1.1920928955078125e-06,3.0994415283203125e-06,3.814697265625e-06
110,5.245208740234375e-06,1.9073486328125e-06,3.0994415283203125e-06,1.9073486328125e-06,3.0994415283203125e-06
120,6.198883056640625e-06,7.152557373046875e-07,2.1457672119140625e-06,2.86102294921875e-06,9.5367431640625e-07
130,5.9604644775390625e-06,2.1457672119140625e-06,9.5367431640625e-07,3.0994415283203125e-06,1.1920928955078125e-06
140,6.9141387939453125e-06,1.9073486328125e-06,1.1920928955078125e-06,3.814697265625e-06,1.9073486328125e-06
150,6.9141387939453125e-06,1.6689300537109375e-06,3.0994415283203125e-06,3.814697265625e-06,2.1457672119140625e-06
160,9.775161743164062e-06,4.0531158447265625e-06,7.152557373046875e-07,4.0531158447265625e-06,9.5367431640625e-07
170,1.0013580322265625e-05,1.9073486328125e-06,3.0994415283203125e-06,3.814697265625e-06,9.5367431640625e-07
180,7.867813110351562e-06,5.245208740234375e-06,3.0994415283203125e-06,5.0067901611328125e-06,2.1457672119140625e-06
190,8.821487426757812e-06,1.9073486328125e-06,1.9073486328125e-06,3.814697265625e-06,1.1920928955078125e-06
200,9.298324584960938e-06,2.1457672119140625e-06,7.152557373046875e-07,5.0067901611328125e-06,1.9073486328125e-06
