,1,2,3,4,5
10,7.009506225585938e-05,9.202957153320312e-05,0.0001289844512939453,0.00020503997802734375,0.00024819374084472656
20,8.0108642578125e-05,0.00015401840209960938,0.00024390220642089844,0.0003509521484375,0.00048828125
30,0.00011897087097167969,0.00022482872009277344,0.0003571510314941406,0.0005152225494384766,0.0007069110870361328
40,0.00015592575073242188,0.0003058910369873047,0.0004742145538330078,0.0007369518280029297,0.0009450912475585938
50,0.00019502639770507812,0.0003681182861328125,0.0005929470062255859,0.0008518695831298828,0.001210927963256836
60,0.0002300739288330078,0.0004401206970214844,0.0007081031799316406,0.0010151863098144531,0.001413106918334961
70,0.00027680397033691406,0.0005140304565429688,0.0008261203765869141,0.0011868476867675781,0.0016338825225830078
80,0.0003178119659423828,0.0005857944488525391,0.000942230224609375,0.0013859272003173828,0.0018849372863769531
90,0.0003452301025390625,0.0006582736968994141,0.0010590553283691406,0.0015189647674560547,0.002649068832397461
100,0.0003910064697265625,0.0007569789886474609,0.0011720657348632812,0.0016818046569824219,0.0023260116577148438
110,0.00043702125549316406,0.0008208751678466797,0.0012958049774169922,0.0018639564514160156,0.002604961395263672
120,0.00045680999755859375,0.0008869171142578125,0.0014078617095947266,0.002027750015258789,0.002843141555786133
130,0.0005030632019042969,0.0009489059448242188,0.001528024673461914,0.0022430419921875,0.0030798912048339844
140,0.0005621910095214844,0.0010309219360351562,0.0016529560089111328,0.002457857131958008,0.003317117691040039
150,0.0005822181701660156,0.00110626220703125,0.001772165298461914,0.002596139907836914,0.0035479068756103516
160,0.0006239414215087891,0.0011730194091796875,0.0019297599792480469,0.002771139144897461,0.0038199424743652344
170,0.0006589889526367188,0.0012500286102294922,0.002054929733276367,0.0029621124267578125,0.004021167755126953
180,0.0006890296936035156,0.001322031021118164,0.002157926559448242,0.0031020641326904297,0.004248142242431641
190,0.0007371902465820312,0.0013937950134277344,0.002271890640258789,0.0032587051391601562,0.004477024078369141
200,0.0007669925689697266,0.0015180110931396484,0.002393960952758789,0.003438234329223633,0.004725933074951172
210,0.0008158683776855469,0.0015940666198730469,0.002516031265258789,0.0036029815673828125,0.004987239837646484
220,0.0008409023284912109,0.0016660690307617188,0.002622842788696289,0.0037870407104492188,0.005255937576293945
230,0.0008749961853027344,0.001734018325805664,0.002772808074951172,0.0039598941802978516,0.005465030670166016
240,0.0009212493896484375,0.0018329620361328125,0.0028650760650634766,0.0041196346282958984,0.0056912899017333984
250,0.0009500980377197266,0.0018849372863769531,0.0029850006103515625,0.0044097900390625,0.005916118621826172
260,0.001035928726196289,0.0019707679748535156,0.0031020641326904297,0.004523038864135742,0.006175994873046875
270,0.0010707378387451172,0.002028942108154297,0.0032291412353515625,0.004681110382080078,0.006393909454345703
280,0.001125335693359375,0.002089977264404297,0.0033512115478515625,0.004853963851928711,0.006645917892456055
290,0.0011692047119140625,0.0021708011627197266,0.003464937210083008,0.005038022994995117,0.006874799728393555
300,0.0012009143829345703,0.002244234085083008,0.0036249160766601562,0.005316019058227539,0.007092952728271484
310,0.0012347698211669922,0.0023109912872314453,0.0037300586700439453,0.005384922027587891,0.007400035858154297
320,0.0012669563293457031,0.0024073123931884766,0.0038530826568603516,0.005553245544433594,0.007626056671142578
330,0.0013201236724853516,0.0024843215942382812,0.0040509700775146484,0.005760669708251953,0.007874011993408203
340,0.001344919204711914,0.0025577545166015625,0.00410008430480957,0.005900144577026367,0.015493154525756836
350,0.0014328956604003906,0.0026748180389404297,0.004261970520019531,0.006083965301513672,0.008365154266357422
360,0.0014519691467285156,0.002766847610473633,0.004438877105712891,0.006250143051147461,0.008582115173339844
370,0.0014801025390625,0.002846240997314453,0.004468202590942383,0.0064830780029296875,0.008831977844238281
380,0.001508951187133789,0.0029039382934570312,0.0046498775482177734,0.006635189056396484,0.009058952331542969
390,0.0015552043914794922,0.0029959678649902344,0.004755258560180664,0.006821870803833008,0.009340047836303711
400,0.0015900135040283203,0.0030460357666015625,0.004903316497802734,0.0069730281829833984,0.009538888931274414
410,0.0016210079193115234,0.0031261444091796875,0.005020856857299805,0.0071659088134765625,0.009783029556274414
420,0.001657724380493164,0.003185749053955078,0.005147218704223633,0.007329225540161133,0.010007143020629883
430,0.0017070770263671875,0.0032689571380615234,0.005247831344604492,0.007472038269042969,0.010322809219360352
440,0.0017440319061279297,0.003329038619995117,0.005331993103027344,0.007642030715942383,0.010536909103393555
450,0.0017790794372558594,0.0034172534942626953,0.005487203598022461,0.007901906967163086,0.01943492889404297
460,0.0018622875213623047,0.003512144088745117,0.005609273910522461,0.00807809829711914,0.011075973510742188
470,0.0018548965454101562,0.0035550594329833984,0.005676746368408203,0.008341073989868164,0.011246919631958008
480,0.0019021034240722656,0.0036258697509765625,0.005908966064453125,0.008400917053222656,0.01143193244934082
490,0.001971006393432617,0.003688812255859375,0.005918025970458984,0.008520126342773438,0.011887073516845703
500,0.0020051002502441406,0.0037779808044433594,0.0060498714447021484,0.008851051330566406,0.011918783187866211
510,0.0020411014556884766,0.003851652145385742,0.0061528682708740234,0.008933067321777344,0.012450218200683594
520,0.0021059513092041016,0.003942966461181641,0.006284952163696289,0.009271860122680664,0.012459039688110352
530,0.0021200180053710938,0.00416111946105957,0.0064089298248291016,0.009279012680053711,0.020620107650756836
540,0.0022690296173095703,0.004095792770385742,0.006584882736206055,0.009660005569458008,0.012892007827758789
550,0.0021979808807373047,0.00426483154296875,0.006709098815917969,0.00960993766784668,0.013241767883300781
560,0.0022439956665039062,0.004267215728759766,0.006855010986328125,0.00976109504699707,0.013649940490722656
570,0.0022668838500976562,0.0043582916259765625,0.0068950653076171875,0.009969949722290039,0.013924837112426758
580,0.002310037612915039,0.004410982131958008,0.007009983062744141,0.010312080383300781,0.013875007629394531
590,0.0024178028106689453,0.004479885101318359,0.00715184211730957,0.01057887077331543,0.014157772064208984
600,0.0023779869079589844,0.011137247085571289,0.007463932037353516,0.010704994201660156,0.014440774917602539
610,0.0024318695068359375,0.004652738571166992,0.00739598274230957,0.010927200317382812,0.014598846435546875
620,0.0024869441986083984,0.004786252975463867,0.007516145706176758,0.011142730712890625,0.014795064926147461
630,0.002511262893676758,0.004856109619140625,0.007643938064575195,0.011322021484375,0.015036821365356445
640,0.002560853958129883,0.004924774169921875,0.007754087448120117,0.011483907699584961,0.015233039855957031
650,0.0025849342346191406,0.004982948303222656,0.00791311264038086,0.018280029296875,0.015820026397705078
660,0.0027129650115966797,0.005029201507568359,0.008131980895996094,0.011852025985717773,0.016108989715576172
670,0.002685070037841797,0.0051038265228271484,0.008148908615112305,0.011777877807617188,0.016257047653198242
680,0.0027151107788085938,0.005175113677978516,0.008498907089233398,0.011868953704833984,0.016427040100097656
690,0.00275421142578125,0.005249977111816406,0.008475065231323242,0.012067794799804688,0.01656484603881836
700,0.0027861595153808594,0.0055370330810546875,0.008475065231323242,0.02003788948059082,0.016963958740234375
710,0.002874135971069336,0.005430936813354492,0.008635997772216797,0.0124359130859375,0.017185211181640625
720,0.0028798580169677734,0.00556492805480957,0.008744001388549805,0.012881755828857422,0.01716899871826172
730,0.0029380321502685547,0.005588054656982422,0.009119033813476562,0.012762308120727539,0.01758885383605957
740,0.002972841262817383,0.005777835845947266,0.00894308090209961,0.013132095336914062,0.025727033615112305
750,0.0031099319458007812,0.005733966827392578,0.009337186813354492,0.013092756271362305,0.018097877502441406
760,0.0033736228942871094,0.005800008773803711,0.009178876876831055,0.013518810272216797,0.01866602897644043
770,0.003134012222290039,0.006103992462158203,0.009401798248291016,0.013807058334350586,0.018793344497680664
780,0.003164052963256836,0.006011009216308594,0.00963592529296875,0.014008760452270508,0.019108295440673828
790,0.01004481315612793,0.0061380863189697266,0.009785890579223633,0.014195919036865234,0.019154071807861328
800,0.003236055374145508,0.0061681270599365234,0.009968996047973633,0.014054059982299805,0.019191980361938477
810,0.003339052200317383,0.0062389373779296875,0.010102987289428711,0.014189004898071289,0.01947641372680664
820,0.0033888816833496094,0.006325960159301758,0.010226011276245117,0.014356374740600586,0.02669811248779297
830,0.003573894500732422,0.006417036056518555,0.01041412353515625,0.014589786529541016,0.01993393898010254
840,0.003451108932495117,0.006456136703491211,0.010480880737304688,0.01474618911743164,0.0200650691986084
850,0.0034198760986328125,0.0065190792083740234,0.01052713394165039,0.015263080596923828,0.02079176902770996
860,0.0034852027893066406,0.0065572261810302734,0.01747608184814453,0.01555490493774414,0.021181106567382812
870,0.003480672836303711,0.0066339969635009766,0.010543107986450195,0.01544499397277832,0.02108597755432129
880,0.0035300254821777344,0.006846904754638672,0.010640144348144531,0.01543879508972168,0.021187782287597656
890,0.003683805465698242,0.006785154342651367,0.011064767837524414,0.015959978103637695,0.02861618995666504
900,0.0036721229553222656,0.006896018981933594,0.010931015014648438,0.016026020050048828,0.021796226501464844
910,0.0036611557006835938,0.0070149898529052734,0.011361122131347656,0.01589512825012207,0.022114038467407227
920,0.0036699771881103516,0.007040977478027344,0.011262178421020508,0.016346216201782227,0.029612064361572266
930,0.0038118362426757812,0.007311105728149414,0.01141500473022461,0.016711711883544922,0.0227048397064209
940,0.0037796497344970703,0.007206916809082031,0.01150965690612793,0.016695261001586914,0.02270793914794922
950,0.0038270950317382812,0.007298946380615234,0.011775016784667969,0.016971111297607422,0.03061199188232422
960,0.003966093063354492,0.007580757141113281,0.011665105819702148,0.01692795753479004,0.022984981536865234
970,0.003910064697265625,0.0074062347412109375,0.011880874633789062,0.017193078994750977,0.023476123809814453
980,0.004050016403198242,0.0074770450592041016,0.0120849609375,0.01738286018371582,0.030987024307250977
990,0.004091978073120117,0.0076138973236083984,0.0122528076171875,0.017606019973754883,0.024004220962524414
