,1,3,5,2,4
10,2.1457672119140625e-06,3.0994415283203125e-06,4.0531158447265625e-06,2.1457672119140625e-06,1.9073486328125e-06
20,1.9073486328125e-06,9.5367431640625e-07,1.1920928955078125e-06,3.814697265625e-06,9.5367431640625e-07
30,2.1457672119140625e-06,9.5367431640625e-07,2.86102294921875e-06,1.1920928955078125e-06,4.0531158447265625e-06
40,3.0994415283203125e-06,0.0,1.1920928955078125e-06,9.5367431640625e-07,4.0531158447265625e-06
50,2.6226043701171875e-06,9.5367431640625e-07,0.0,9.5367431640625e-07,9.5367431640625e-07
60,3.0994415283203125e-06,0.0,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07
70,3.0994415283203125e-06,9.5367431640625e-07,1.1920928955078125e-06,9.5367431640625e-07,9.5367431640625e-07
80,3.814697265625e-06,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07
90,3.814697265625e-06,9.5367431640625e-07,7.152557373046875e-07,1.9073486328125e-06,9.5367431640625e-07
100,5.245208740234375e-06,3.0994415283203125e-06,0.0,2.1457672119140625e-06,1.1920928955078125e-06
110,4.76837158203125e-06,9.5367431640625e-07,2.86102294921875e-06,2.1457672119140625e-06,3.814697265625e-06
120,4.76837158203125e-06,9.5367431640625e-07,0.0,3.0994415283203125e-06,3.0994415283203125e-06
130,6.198883056640625e-06,9.5367431640625e-07,4.291534423828125e-06,1.6689300537109375e-06,0.0
140,8.821487426757812e-06,9.5367431640625e-07,1.1920928955078125e-06,1.9073486328125e-06,7.152557373046875e-07
150,6.9141387939453125e-06,1.1920928955078125e-06,0.0,2.1457672119140625e-06,1.1920928955078125e-06
160,6.9141387939453125e-06,2.1457672119140625e-06,2.6226043701171875e-06,2.1457672119140625e-06,9.5367431640625e-07
170,7.867813110351562e-06,3.814697265625e-06,1.1920928955078125e-06,5.0067901611328125e-06,9.5367431640625e-07
180,9.059906005859375e-06,1.9073486328125e-06,1.1920928955078125e-06,3.0994415283203125e-06,4.0531158447265625e-06
190,1.1920928955078125e-05,9.5367431640625e-07,3.814697265625e-06,4.291534423828125e-06,9.5367431640625e-07
200,7.867813110351562e-06,2.1457672119140625e-06,9.5367431640625e-07,5.9604644775390625e-06,1.1920928955078125e-06
210,9.059906005859375e-06,9.5367431640625e-07,1.1920928955078125e-06,3.0994415283203125e-06,7.152557373046875e-07
220,1.0251998901367188e-05,2.1457672119140625e-06,9.5367431640625e-07,3.0994415283203125e-06,9.5367431640625e-07
230,1.0251998901367188e-05,1.9073486328125e-06,7.152557373046875e-07,7.152557373046875e-06,1.1920928955078125e-06
240,1.0013580322265625e-05,1.9073486328125e-06,9.5367431640625e-07,3.814697265625e-06,1.1920928955078125e-06
250,1.4066696166992188e-05,1.9073486328125e-06,9.5367431640625e-07,7.152557373046875e-06,1.9073486328125e-06
260,1.2159347534179688e-05,5.0067901611328125e-06,9.5367431640625e-07,5.0067901611328125e-06,1.1920928955078125e-06
270,1.3113021850585938e-05,2.1457672119140625e-06,2.86102294921875e-06,5.9604644775390625e-06,9.5367431640625e-07
280,1.2874603271484375e-05,2.86102294921875e-06,9.5367431640625e-07,5.0067901611328125e-06,3.0994415283203125e-06
290,1.5020370483398438e-05,1.9073486328125e-06,9.5367431640625e-07,5.0067901611328125e-06,4.291534423828125e-06
300,1.3828277587890625e-05,1.9073486328125e-06,9.5367431640625e-07,5.245208740234375e-06,3.0994415283203125e-06
310,1.4066696166992188e-05,1.9073486328125e-06,7.152557373046875e-07,4.76837158203125e-06,1.9073486328125e-06
320,1.52587890625e-05,3.0994415283203125e-06,1.9073486328125e-06,6.9141387939453125e-06,9.5367431640625e-07
330,1.8835067749023438e-05,2.6226043701171875e-06,9.5367431640625e-07,5.7220458984375e-06,2.1457672119140625e-06
340,1.71661376953125e-05,2.86102294921875e-06,4.0531158447265625e-06,5.245208740234375e-06,4.0531158447265625e-06
350,2.002716064453125e-05,1.9073486328125e-06,4.0531158447265625e-06,6.198883056640625e-06,4.0531158447265625e-06
360,1.7881393432617188e-05,1.9073486328125e-06,7.152557373046875e-07,9.059906005859375e-06,1.1920928955078125e-06
370,1.7881393432617188e-05,5.0067901611328125e-06,4.0531158447265625e-06,6.198883056640625e-06,2.1457672119140625e-06
380,1.8835067749023438e-05,3.0994415283203125e-06,2.86102294921875e-06,5.9604644775390625e-06,1.9073486328125e-06
390,2.09808349609375e-05,2.1457672119140625e-06,9.5367431640625e-07,6.9141387939453125e-06,3.814697265625e-06
400,2.0265579223632812e-05,1.9073486328125e-06,9.5367431640625e-07,7.152557373046875e-06,1.9073486328125e-06
410,2.09808349609375e-05,5.0067901611328125e-06,9.5367431640625e-07,6.9141387939453125e-06,7.152557373046875e-07
420,2.4080276489257812e-05,1.9073486328125e-06,1.6689300537109375e-06,6.9141387939453125e-06,1.1920928955078125e-06
430,2.193450927734375e-05,3.0994415283203125e-06,4.0531158447265625e-06,7.152557373046875e-06,1.9073486328125e-06
440,2.193450927734375e-05,3.0994415283203125e-06,9.5367431640625e-07,6.9141387939453125e-06,9.5367431640625e-07
450,2.2649765014648438e-05,2.86102294921875e-06,9.5367431640625e-07,7.867813110351562e-06,3.814697265625e-06
460,2.3126602172851562e-05,3.0994415283203125e-06,1.1920928955078125e-06,6.9141387939453125e-06,9.5367431640625e-07
470,2.3603439331054688e-05,2.86102294921875e-06,3.0994415283203125e-06,8.106231689453125e-06,1.1920928955078125e-06
480,2.6941299438476562e-05,2.86102294921875e-06,2.86102294921875e-06,6.9141387939453125e-06,1.9073486328125e-06
490,2.5033950805664062e-05,2.86102294921875e-06,9.5367431640625e-07,6.9141387939453125e-06,2.1457672119140625e-06
500,2.574920654296875e-05,3.0994415283203125e-06,9.5367431640625e-07,7.867813110351562e-06,9.5367431640625e-07
510,2.6941299438476562e-05,3.0994415283203125e-06,1.9073486328125e-06,7.867813110351562e-06,1.1920928955078125e-06
520,2.8133392333984375e-05,4.291534423828125e-06,7.152557373046875e-07,8.821487426757812e-06,2.1457672119140625e-06
530,2.7179718017578125e-05,3.0994415283203125e-06,9.5367431640625e-07,7.867813110351562e-06,1.9073486328125e-06
540,2.8133392333984375e-05,4.291534423828125e-06,0.0,8.106231689453125e-06,2.1457672119140625e-06
550,2.9087066650390625e-05,3.0994415283203125e-06,9.5367431640625e-07,9.059906005859375e-06,1.9073486328125e-06
560,2.8848648071289062e-05,2.86102294921875e-06,9.5367431640625e-07,9.059906005859375e-06,9.5367431640625e-07
570,2.9802322387695312e-05,3.0994415283203125e-06,1.1920928955078125e-06,9.059906005859375e-06,1.9073486328125e-06
580,3.504753112792969e-05,3.0994415283203125e-06,9.5367431640625e-07,9.059906005859375e-06,2.1457672119140625e-06
590,3.4809112548828125e-05,3.814697265625e-06,9.5367431640625e-07,1.0013580322265625e-05,9.5367431640625e-07
600,3.1948089599609375e-05,3.0994415283203125e-06,9.5367431640625e-07,8.821487426757812e-06,9.5367431640625e-07
610,3.1948089599609375e-05,3.0994415283203125e-06,9.5367431640625e-07,9.059906005859375e-06,1.9073486328125e-06
620,3.314018249511719e-05,3.814697265625e-06,9.5367431640625e-07,9.775161743164062e-06,2.1457672119140625e-06
630,3.314018249511719e-05,7.867813110351562e-06,0.0,1.0013580322265625e-05,2.1457672119140625e-06
