,1,3,5,2,4,6
10,,1.3113021850585938e-05,1.1205673217773438e-05,1.5020370483398438e-05,1.2159347534179688e-05,1.1205673217773438e-05
20,,1.621246337890625e-05,1.9073486328125e-05,1.4066696166992188e-05,1.71661376953125e-05,1.9073486328125e-05
30,,1.9788742065429688e-05,3.719329833984375e-05,1.7881393432617188e-05,2.3126602172851562e-05,2.8848648071289062e-05
40,,2.7179718017578125e-05,3.504753112792969e-05,2.4080276489257812e-05,3.123283386230469e-05,3.695487976074219e-05
50,,3.314018249511719e-05,4.291534423828125e-05,2.7894973754882812e-05,3.933906555175781e-05,4.506111145019531e-05
60,,4.00543212890625e-05,4.982948303222656e-05,3.1948089599609375e-05,4.696846008300781e-05,5.91278076171875e-05
70,,4.6253204345703125e-05,5.888938903808594e-05,3.886222839355469e-05,5.3882598876953125e-05,6.29425048828125e-05
80,,5.1975250244140625e-05,6.67572021484375e-05,4.673004150390625e-05,6.198883056640625e-05,7.295608520507812e-05
90,,5.698204040527344e-05,7.486343383789062e-05,4.9114227294921875e-05,6.914138793945312e-05,8.0108642578125e-05
100,,6.389617919921875e-05,8.440017700195312e-05,5.3882598876953125e-05,7.605552673339844e-05,9.107589721679688e-05
110,,7.009506225585938e-05,9.393692016601562e-05,5.984306335449219e-05,8.416175842285156e-05,9.918212890625e-05
120,,7.557868957519531e-05,0.0001010894775390625,6.389617919921875e-05,9.179115295410156e-05,0.00010895729064941406
130,,8.296966552734375e-05,0.00011205673217773438,7.009506225585938e-05,0.00010085105895996094,0.00011920928955078125
140,,8.916854858398438e-05,0.0001201629638671875,7.486343383789062e-05,0.00011086463928222656,0.0001289844512939453
150,,9.489059448242188e-05,0.0001289844512939453,7.987022399902344e-05,0.00011515617370605469,0.0001380443572998047
160,,0.00010180473327636719,0.00013899803161621094,8.606910705566406e-05,0.00012183189392089844,0.0001480579376220703
170,,0.00010895729064941406,0.0001468658447265625,8.96453857421875e-05,0.0001289844512939453,0.00015687942504882812
180,,0.00011181831359863281,0.00015497207641601562,9.608268737792969e-05,0.00013899803161621094,0.0001659393310546875
190,,0.0001201629638671875,0.00016617774963378906,0.00010013580322265625,0.00014400482177734375,0.0001773834228515625
200,,0.0001251697540283203,0.00017309188842773438,0.00010609626770019531,0.00015211105346679688,0.0001862049102783203
210,,0.0001308917999267578,0.00018286705017089844,0.00011014938354492188,0.00016927719116210938,0.00019502639770507812
220,,0.0001380443572998047,0.00019097328186035156,0.00011610984802246094,0.00016617774963378906,0.00020384788513183594
230,,0.00014472007751464844,0.00020003318786621094,0.0001327991485595703,0.0001747608184814453,0.00021600723266601562
240,,0.0001499652862548828,0.00021004676818847656,0.0001308917999267578,0.00018215179443359375,0.0002238750457763672
250,,0.00015687942504882812,0.00021886825561523438,0.0001361370086669922,0.00018787384033203125,0.00023293495178222656
260,,0.00016498565673828125,0.00022792816162109375,0.00014400482177734375,0.00019788742065429688,0.00024390220642089844
270,,0.00016999244689941406,0.00023508071899414062,0.00015115737915039062,0.00020599365234375,0.00026988983154296875
280,,0.00017690658569335938,0.00025200843811035156,0.00015616416931152344,0.00021600723266601562,0.00026702880859375
290,,0.00018286705017089844,0.0002560615539550781,0.00016164779663085938,0.0002219676971435547,0.0002810955047607422
300,,0.0001900196075439453,0.0002651214599609375,0.0001628398895263672,0.0002288818359375,0.0002868175506591797
310,,0.0001971721649169922,0.0002732276916503906,0.0001690387725830078,0.00023889541625976562,0.00030112266540527344
320,,0.00020313262939453125,0.00028395652770996094,0.00017905235290527344,0.00024819374084472656,0.0003120899200439453
330,,0.00021195411682128906,0.0002961158752441406,0.00018286705017089844,0.0002529621124267578,0.0003199577331542969
340,,0.00021576881408691406,0.00031065940856933594,0.00018787384033203125,0.0002620220184326172,0.000331878662109375
350,,0.00022292137145996094,0.0003209114074707031,0.00019502639770507812,0.000270843505859375,0.00034308433532714844
360,,0.0002281665802001953,0.0003209114074707031,0.00019884109497070312,0.0002791881561279297,0.0003528594970703125
370,,0.00023698806762695312,0.000331878662109375,0.00020885467529296875,0.0002849102020263672,0.0003650188446044922
380,,0.0002429485321044922,0.00034117698669433594,0.00021123886108398438,0.0002980232238769531,0.0003762245178222656
390,,0.00024890899658203125,0.00034999847412109375,0.00021600723266601562,0.0003039836883544922,0.0003921985626220703
400,,0.0002567768096923828,0.00036406517028808594,0.00022482872009277344,0.00030994415283203125,0.0003979206085205078
410,,0.0002639293670654297,0.00036978721618652344,0.00023102760314941406,0.0003211498260498047,0.0004150867462158203
420,,0.00026798248291015625,0.0003807544708251953,0.00022983551025390625,0.0003249645233154297,0.0004208087921142578
430,,0.0002770423889160156,0.00038909912109375,0.00023794174194335938,0.00033593177795410156,0.00043201446533203125
440,,0.00028324127197265625,0.0004029273986816406,0.00024700164794921875,0.00034618377685546875,0.0004420280456542969
450,,0.0002880096435546875,0.00040912628173828125,0.00025081634521484375,0.0003509521484375,0.0004558563232421875
460,,0.0002980232238769531,0.0004210472106933594,0.0002608299255371094,0.0003600120544433594,0.0004658699035644531
470,,0.000308990478515625,0.0004279613494873047,0.00026679039001464844,0.00036787986755371094,0.00047588348388671875
480,,0.0003101825714111328,0.0004360675811767578,0.00026917457580566406,0.0003790855407714844,0.00048470497131347656
490,,0.00031375885009765625,0.00044798851013183594,0.0002720355987548828,0.0003819465637207031,0.0004961490631103516
500,,0.0003228187561035156,0.0004589557647705078,0.0002808570861816406,0.0003960132598876953,0.0005152225494384766
510,,0.0003273487091064453,0.00046706199645996094,0.0002880096435546875,0.0003991127014160156,0.0005190372467041016
520,,0.0003390312194824219,0.00047707557678222656,0.0006389617919921875,0.00041222572326660156,0.0005261898040771484
