,1,2,3,4,5
10,2.288818359375e-05,1.9788742065429688e-05,2.002716064453125e-05,2.002716064453125e-05,2.002716064453125e-05
20,1.9073486328125e-05,3.886222839355469e-05,3.910064697265625e-05,3.7670135498046875e-05,3.3855438232421875e-05
30,2.384185791015625e-05,6.29425048828125e-05,7.987022399902344e-05,7.486343383789062e-05,7.390975952148438e-05
40,3.218650817871094e-05,9.298324584960938e-05,0.0001239776611328125,0.0001049041748046875,7.319450378417969e-05
50,9.012222290039062e-05,0.0001380443572998047,0.0002110004425048828,0.0001862049102783203,0.00011301040649414062
60,4.696846008300781e-05,0.00017595291137695312,0.0002911090850830078,0.00022292137145996094,0.00016117095947265625
70,0.00011801719665527344,0.00023031234741210938,0.0004429817199707031,0.0003859996795654297,0.00028395652770996094
80,6.508827209472656e-05,0.00029087066650390625,0.00057220458984375,0.00039887428283691406,0.0001900196075439453
90,9.202957153320312e-05,0.0003490447998046875,0.0008070468902587891,0.0006489753723144531,0.00037097930908203125
100,9.083747863769531e-05,0.0004210472106933594,0.0011608600616455078,0.0008339881896972656,0.00039005279541015625
110,0.00010013580322265625,0.0004978179931640625,0.0013339519500732422,0.0013279914855957031,0.0007700920104980469
120,0.00010609626770019531,0.0005807876586914062,0.0020508766174316406,0.0012879371643066406,0.0005688667297363281
130,0.00012087821960449219,0.0006711483001708984,0.0020780563354492188,0.0019021034240722656,0.0008027553558349609
140,0.00016069412231445312,0.0010058879852294922,0.002416849136352539,0.002602100372314453,0.0012481212615966797
150,0.00013303756713867188,0.0008718967437744141,0.003026247024536133,0.0032639503479003906,0.0015609264373779297
160,0.0001380443572998047,0.001001119613647461,0.003469228744506836,0.0034089088439941406,0.001154184341430664
170,0.00015091896057128906,0.0017092227935791016,0.004304170608520508,0.004469871520996094,0.0022699832916259766
180,0.00017404556274414062,0.002068042755126953,0.004958391189575195,0.005242824554443359,0.0021359920501708984
190,0.00017690658569335938,0.0020780563354492188,0.005795001983642578,0.0069730281829833984,0.0038759708404541016
200,0.0001773834228515625,0.002103090286254883,0.00653386116027832,0.007107973098754883,0.0028679370880126953
210,0.000186920166015625,0.0022678375244140625,0.00765681266784668,0.00924372673034668,0.0038101673126220703
220,0.00019407272338867188,0.0025300979614257812,0.008585929870605469,0.010365009307861328,0.005043983459472656
230,0.00021195411682128906,0.0026121139526367188,0.010080099105834961,0.013345956802368164,0.006514072418212891
240,0.0002200603485107422,0.0028460025787353516,0.010952949523925781,0.013442039489746094,0.005178928375244141
250,0.00022983551025390625,0.0031082630157470703,0.01265096664428711,0.016822099685668945,0.008250236511230469
260,0.00023102760314941406,0.0032320022583007812,0.013918876647949219,0.019083023071289062,0.008461952209472656
270,0.00025200843811035156,0.003284931182861328,0.015717267990112305,0.023478984832763672,0.012981891632080078
280,0.0002620220184326172,0.003676176071166992,0.01703023910522461,0.023127079010009766,0.010364294052124023
290,0.0002760887145996094,0.003920316696166992,0.019128084182739258,0.028439044952392578,0.012965202331542969
300,0.0003190040588378906,0.00411677360534668,0.0205078125,0.031295061111450195,0.016040802001953125
310,0.00028204917907714844,0.004283905029296875,0.023030757904052734,0.03781294822692871,0.019879817962646484
320,0.0002849102020263672,0.0044269561767578125,0.02525806427001953,0.03801703453063965,0.01616692543029785
330,0.0002868175506591797,0.005033016204833984,0.05071592330932617,0.045478105545043945,0.02421092987060547
340,0.00030732154846191406,0.005347013473510742,0.05364179611206055,0.04958319664001465,0.024267911911010742
350,0.0003159046173095703,0.0064160823822021484,0.05664825439453125,0.05875086784362793,0.03513693809509277
360,0.00125885009765625,0.006824016571044922,0.05866384506225586,0.05884408950805664,0.029375076293945312
370,0.000335693359375,0.007053852081298828,0.0633399486541748,0.06915020942687988,0.03524303436279297
380,0.00035691261291503906,0.007687091827392578,0.06658816337585449,0.07494282722473145,0.04218697547912598
390,0.000392913818359375,0.008031129837036133,0.07051420211791992,0.08744120597839355,0.05005192756652832
400,0.00037789344787597656,0.008269071578979492,0.07302713394165039,0.08758711814880371,0.04272723197937012
410,0.0003871917724609375,0.00847482681274414,0.07740283012390137,0.1014702320098877,0.05926179885864258
420,0.0003867149353027344,0.008797883987426758,0.08069205284118652,0.10911393165588379,0.05933403968811035
430,0.0004019737243652344,0.009145975112915039,0.08544778823852539,0.1255021095275879,0.08137702941894531
440,0.0004119873046875,0.009614706039428711,0.08856773376464844,0.12640810012817383,0.06987714767456055
450,0.0004379749298095703,0.009975194931030273,0.09424996376037598,0.14435911178588867,0.08165407180786133
460,0.0004277229309082031,0.010741949081420898,0.09796500205993652,0.153886079788208,0.09550213813781738
470,0.0004589557647705078,0.010592937469482422,0.10345602035522461,0.1753690242767334,0.10993099212646484
480,0.0005040168762207031,0.011190176010131836,0.10813593864440918,0.17800402641296387,0.0965721607208252
490,0.0004649162292480469,0.010818243026733398,0.1143808364868164,0.1997058391571045,0.1286628246307373
