,1,3,5,2,4
10,1.5974044799804688e-05,1.0013580322265625e-05,1.1920928955078125e-05,1.0013580322265625e-05,1.0728836059570312e-05
20,1.2874603271484375e-05,1.5735626220703125e-05,1.811981201171875e-05,1.4066696166992188e-05,1.71661376953125e-05
30,1.7881393432617188e-05,2.09808349609375e-05,2.5033950805664062e-05,1.7881393432617188e-05,2.5987625122070312e-05
40,2.193450927734375e-05,2.7894973754882812e-05,3.409385681152344e-05,2.288818359375e-05,3.1948089599609375e-05
50,2.6941299438476562e-05,3.409385681152344e-05,4.1961669921875e-05,2.7894973754882812e-05,3.886222839355469e-05
60,3.0994415283203125e-05,3.886222839355469e-05,4.982948303222656e-05,3.2901763916015625e-05,4.601478576660156e-05
70,3.695487976074219e-05,4.482269287109375e-05,5.888938903808594e-05,3.814697265625e-05,5.507469177246094e-05
80,4.887580871582031e-05,5.1975250244140625e-05,6.699562072753906e-05,4.410743713378906e-05,6.29425048828125e-05
90,5.078315734863281e-05,5.6743621826171875e-05,7.390975952148438e-05,4.9114227294921875e-05,6.914138793945312e-05
100,5.507469177246094e-05,6.389617919921875e-05,8.392333984375e-05,5.459785461425781e-05,7.677078247070312e-05
110,6.079673767089844e-05,7.104873657226562e-05,9.393692016601562e-05,5.984306335449219e-05,8.606910705566406e-05
120,6.508827209472656e-05,7.724761962890625e-05,0.00010204315185546875,6.413459777832031e-05,9.179115295410156e-05
130,6.985664367675781e-05,8.225440979003906e-05,0.00011205673217773438,6.985664367675781e-05,9.989738464355469e-05
140,7.486343383789062e-05,8.893013000488281e-05,0.00011992454528808594,7.486343383789062e-05,0.00010704994201660156
150,8.821487426757812e-05,9.393692016601562e-05,0.00012922286987304688,7.891654968261719e-05,0.00011396408081054688
160,8.702278137207031e-05,0.00010204315185546875,0.0001380443572998047,8.511543273925781e-05,0.00012183189392089844
170,9.107589721679688e-05,0.00010800361633300781,0.00014710426330566406,9.107589721679688e-05,0.00012993812561035156
180,9.799003601074219e-05,0.00011181831359863281,0.00015735626220703125,9.608268737792969e-05,0.00013899803161621094
190,0.00010085105895996094,0.00011920928955078125,0.00016379356384277344,0.00010013580322265625,0.0001437664031982422
200,0.0001049041748046875,0.00012612342834472656,0.0001728534698486328,0.00010800361633300781,0.0001518726348876953
210,0.00011086463928222656,0.00012993812561035156,0.0001819133758544922,0.00010991096496582031,0.0001590251922607422
220,0.00011491775512695312,0.0001399517059326172,0.00019097328186035156,0.00011539459228515625,0.0001659393310546875
230,0.00011992454528808594,0.0001437664031982422,0.0002009868621826172,0.00012373924255371094,0.0001742839813232422
240,0.00012803077697753906,0.0002911090850830078,0.0005269050598144531,0.00012993812561035156,0.0005218982696533203
250,0.00014495849609375,0.00015616416931152344,0.00021719932556152344,0.000164031982421875,0.00019288063049316406
260,0.000141143798828125,0.00016379356384277344,0.00022912025451660156,0.00014090538024902344,0.0002009868621826172
270,0.00014400482177734375,0.0001690387725830078,0.00023889541625976562,0.00014591217041015625,0.00020503997802734375
280,0.00015425682067871094,0.0001761913299560547,0.0002460479736328125,0.00015497207641601562,0.00021409988403320312
290,0.00015473365783691406,0.00018405914306640625,0.0002548694610595703,0.00015687942504882812,0.00022602081298828125
300,0.00016307830810546875,0.00018906593322753906,0.00026488304138183594,0.0001621246337890625,0.00023031234741210938
310,0.00016808509826660156,0.00019788742065429688,0.00027489662170410156,0.0001690387725830078,0.00023818016052246094
320,0.00017499923706054688,0.00020194053649902344,0.00028896331787109375,0.00017404556274414062,0.00025177001953125
330,0.0001780986785888672,0.0002090930938720703,0.00029206275939941406,0.0001819133758544922,0.0002548694610595703
340,0.0001857280731201172,0.00021505355834960938,0.00030303001403808594,0.00018405914306640625,0.00026798248291015625
350,0.0002009868621826172,0.00022292137145996094,0.0003151893615722656,0.0001900196075439453,0.0002758502960205078
360,0.0001938343048095703,0.0002281665802001953,0.0003211498260498047,0.00019621849060058594,0.0002770423889160156
370,0.000202178955078125,0.00023603439331054688,0.00033211708068847656,0.00020194053649902344,0.00028705596923828125
380,0.00020885467529296875,0.00024080276489257812,0.0003409385681152344,0.0002071857452392578,0.0002949237823486328
390,0.0002110004425048828,0.00024890899658203125,0.00034999847412109375,0.00021409988403320312,0.0003008842468261719
400,0.0002167224884033203,0.0002570152282714844,0.0003600120544433594,0.0002181529998779297,0.0003132820129394531
